Date,StockCode,Description,Country,QuantitySold,Revenue,UnitPrice
2011-05-20,20723,STRAWBERRY CHARLOTTE BAG,United Kingdom,80,68.0,0.85
2011-05-22,20723,STRAWBERRY CHARLOTTE BAG,United Kingdom,3,2.55,0.85
2011-05-23,20723,STRAWBERRY CHARLOTTE BAG,United Kingdom,22,18.7,0.85
2011-05-24,20723,STRAWBERRY CHARLOTTE BAG,United Kingdom,10,10.059999999999999,1.11
2011-05-25,20723,STRAWBERRY CHARLOTTE BAG,United Kingdom,21,18.63,1.11
2011-05-26,20723,STRAWBERRY CHARLOTTE BAG,EIRE,10,8.5,0.85
2011-05-26,20723,STRAWBERRY CHARLOTTE BAG,United Kingdom,2,1.7,0.85
2011-05-27,20723,STRAWBERRY CHARLOTTE BAG,Belgium,20,17.0,0.85
2011-05-27,20723,STRAWBERRY CHARLOTTE BAG,United Kingdom,62,131.59,1.3866666666666667
2011-05-31,20723,STRAWBERRY CHARLOTTE BAG,United Kingdom,31,60.16,1.655
2011-06-01,20723,STRAWBERRY CHARLOTTE BAG,United Kingdom,2,3.26,1.63
2011-06-02,20723,STRAWBERRY CHARLOTTE BAG,Germany,4,3.4,0.85
2011-06-02,20723,STRAWBERRY CHARLOTTE BAG,United Kingdom,1,0.85,0.85
2011-06-03,20723,STRAWBERRY CHARLOTTE BAG,United Kingdom,10,8.5,0.85
2011-06-05,20723,STRAWBERRY CHARLOTTE BAG,United Kingdom,32,27.2,0.85
2011-06-06,20723,STRAWBERRY CHARLOTTE BAG,United Kingdom,11,10.129999999999999,1.24
2011-06-07,20723,STRAWBERRY CHARLOTTE BAG,Belgium,10,8.5,0.85
2011-06-07,20723,STRAWBERRY CHARLOTTE BAG,United Kingdom,124,94.74,1.0883333333333332
2011-06-08,20723,STRAWBERRY CHARLOTTE BAG,United Kingdom,56,114.39,1.4475
2011-06-09,20723,STRAWBERRY CHARLOTTE BAG,United Kingdom,46,39.879999999999995,0.98
2011-06-10,20723,STRAWBERRY CHARLOTTE BAG,United Kingdom,25,45.4,1.655
2011-06-12,20723,STRAWBERRY CHARLOTTE BAG,United Kingdom,6,5.1,0.85
2011-06-14,20723,STRAWBERRY CHARLOTTE BAG,United Kingdom,24,50.99,1.3866666666666667
2011-06-15,20723,STRAWBERRY CHARLOTTE BAG,United Kingdom,30,25.5,0.85
2011-06-16,20723,STRAWBERRY CHARLOTTE BAG,United Kingdom,10,8.5,0.85
2011-06-17,20723,STRAWBERRY CHARLOTTE BAG,Belgium,20,17.0,0.85
2011-06-17,20723,STRAWBERRY CHARLOTTE BAG,United Kingdom,24,36.5,1.3866666666666667
2011-06-20,20723,STRAWBERRY CHARLOTTE BAG,Germany,10,8.5,0.85
2011-06-20,20723,STRAWBERRY CHARLOTTE BAG,United Kingdom,23,19.55,0.85
2011-06-21,20723,STRAWBERRY CHARLOTTE BAG,United Kingdom,22,38.019999999999996,1.655
2011-06-22,20723,STRAWBERRY CHARLOTTE BAG,United Kingdom,20,17.0,0.85
2011-06-23,20723,STRAWBERRY CHARLOTTE BAG,United Kingdom,22,18.7,0.85
2011-06-24,20723,STRAWBERRY CHARLOTTE BAG,EIRE,10,8.5,0.85
2011-06-24,20723,STRAWBERRY CHARLOTTE BAG,United Kingdom,140,106.0,0.8175
2011-06-27,20723,STRAWBERRY CHARLOTTE BAG,United Kingdom,29,24.65,0.85
2011-06-28,20723,STRAWBERRY CHARLOTTE BAG,Netherlands,100,72.0,0.72
2011-06-28,20723,STRAWBERRY CHARLOTTE BAG,United Kingdom,57,108.02,1.655
2011-06-29,20723,STRAWBERRY CHARLOTTE BAG,United Kingdom,77,67.78999999999999,1.045
2011-06-30,20723,STRAWBERRY CHARLOTTE BAG,United Kingdom,2,2.48,1.24
2011-07-01,20723,STRAWBERRY CHARLOTTE BAG,France,30,25.5,0.85
2011-07-01,20723,STRAWBERRY CHARLOTTE BAG,United Kingdom,50,42.5,0.85
2011-07-03,20723,STRAWBERRY CHARLOTTE BAG,United Kingdom,10,8.5,0.85
2011-07-04,20723,STRAWBERRY CHARLOTTE BAG,Germany,10,8.5,0.85
2011-07-04,20723,STRAWBERRY CHARLOTTE BAG,United Kingdom,24,22.74,1.162
2011-07-05,20723,STRAWBERRY CHARLOTTE BAG,United Kingdom,60,113.74000000000001,1.4475
2011-07-06,20723,STRAWBERRY CHARLOTTE BAG,United Kingdom,26,22.1,0.85
2011-07-07,20723,STRAWBERRY CHARLOTTE BAG,United Kingdom,35,31.310000000000002,1.045
2011-07-08,20723,STRAWBERRY CHARLOTTE BAG,United Kingdom,35,69.17,1.6466666666666665
2011-07-10,20723,STRAWBERRY CHARLOTTE BAG,United Kingdom,4,3.4,0.85
2011-07-11,20723,STRAWBERRY CHARLOTTE BAG,United Kingdom,2,3.26,1.63
2011-07-12,20723,STRAWBERRY CHARLOTTE BAG,United Kingdom,29,70.50999999999999,2.045
2011-07-13,20723,STRAWBERRY CHARLOTTE BAG,Portugal,10,8.5,0.85
2011-07-13,20723,STRAWBERRY CHARLOTTE BAG,United Kingdom,33,28.049999999999997,0.85
2011-07-14,20723,STRAWBERRY CHARLOTTE BAG,United Kingdom,26,22.88,1.045
2011-07-17,20723,STRAWBERRY CHARLOTTE BAG,United Kingdom,2,1.7,0.85
2011-07-18,20723,STRAWBERRY CHARLOTTE BAG,United Kingdom,23,23.45,1.045
2011-07-19,20723,STRAWBERRY CHARLOTTE BAG,United Kingdom,69,135.93,1.3866666666666667
2011-07-20,20723,STRAWBERRY CHARLOTTE BAG,Portugal,10,8.5,0.85
2011-07-20,20723,STRAWBERRY CHARLOTTE BAG,United Kingdom,5,4.25,0.85
2011-07-21,20723,STRAWBERRY CHARLOTTE BAG,United Kingdom,10,8.5,0.85
2011-07-22,20723,STRAWBERRY CHARLOTTE BAG,United Kingdom,35,55.36,1.4475
2011-07-24,20723,STRAWBERRY CHARLOTTE BAG,Germany,10,8.5,0.85
2011-07-24,20723,STRAWBERRY CHARLOTTE BAG,United Kingdom,110,80.5,0.7849999999999999
2011-07-25,20723,STRAWBERRY CHARLOTTE BAG,Switzerland,10,8.5,0.85
2011-07-25,20723,STRAWBERRY CHARLOTTE BAG,United Kingdom,4,5.74,1.3699999999999999
2011-07-26,20723,STRAWBERRY CHARLOTTE BAG,United Kingdom,49,56.14,1.2525
2011-07-27,20723,STRAWBERRY CHARLOTTE BAG,United Kingdom,20,17.0,0.85
2011-07-29,20723,STRAWBERRY CHARLOTTE BAG,United Kingdom,22,18.7,0.85
2011-07-31,20723,STRAWBERRY CHARLOTTE BAG,United Kingdom,14,11.899999999999999,0.85
2011-08-01,20723,STRAWBERRY CHARLOTTE BAG,United Kingdom,20,17.0,0.85
2011-08-02,20723,STRAWBERRY CHARLOTTE BAG,United Kingdom,103,171.22,1.3279999999999998
2011-08-03,20723,STRAWBERRY CHARLOTTE BAG,United Kingdom,3,2.55,0.85
2011-08-04,20723,STRAWBERRY CHARLOTTE BAG,United Kingdom,154,118.68,1.0125
2011-08-05,20723,STRAWBERRY CHARLOTTE BAG,United Kingdom,7,5.949999999999999,0.85
2011-08-07,20723,STRAWBERRY CHARLOTTE BAG,United Kingdom,20,17.0,0.85
2011-08-08,20723,STRAWBERRY CHARLOTTE BAG,United Kingdom,42,33.099999999999994,0.8066666666666666
2011-08-09,20723,STRAWBERRY CHARLOTTE BAG,Netherlands,100,72.0,0.72
2011-08-09,20723,STRAWBERRY CHARLOTTE BAG,United Kingdom,21,18.63,1.11
2011-08-10,20723,STRAWBERRY CHARLOTTE BAG,United Kingdom,66,143.76999999999998,1.6425
2011-08-11,20723,STRAWBERRY CHARLOTTE BAG,Netherlands,100,72.0,0.72
2011-08-11,20723,STRAWBERRY CHARLOTTE BAG,United Kingdom,21,17.85,0.85
2011-08-12,20723,STRAWBERRY CHARLOTTE BAG,Netherlands,100,72.0,0.72
2011-08-12,20723,STRAWBERRY CHARLOTTE BAG,United Kingdom,10,8.5,0.85
2011-08-14,20723,STRAWBERRY CHARLOTTE BAG,United Kingdom,12,10.2,0.85
2011-08-16,20723,STRAWBERRY CHARLOTTE BAG,United Kingdom,47,107.57,1.655
2011-08-17,20723,STRAWBERRY CHARLOTTE BAG,United Kingdom,2,1.7,0.85
2011-08-18,20723,STRAWBERRY CHARLOTTE BAG,Israel,10,8.5,0.85
2011-08-18,20723,STRAWBERRY CHARLOTTE BAG,United Kingdom,51,43.35,0.85
2011-08-19,20723,STRAWBERRY CHARLOTTE BAG,United Kingdom,30,25.5,0.85
2011-08-21,20723,STRAWBERRY CHARLOTTE BAG,United Kingdom,2,1.7,0.85
2011-08-22,20723,STRAWBERRY CHARLOTTE BAG,United Kingdom,50,42.5,0.85
2011-08-23,20723,STRAWBERRY CHARLOTTE BAG,United Kingdom,13,11.05,0.85
2011-08-24,20723,STRAWBERRY CHARLOTTE BAG,United Kingdom,63,151.76,1.655
2011-08-25,20723,STRAWBERRY CHARLOTTE BAG,United Kingdom,20,17.0,0.85
2011-08-26,20723,STRAWBERRY CHARLOTTE BAG,United Kingdom,45,68.84,1.2525
2011-08-28,20723,STRAWBERRY CHARLOTTE BAG,United Kingdom,1,0.85,0.85
2011-08-30,20723,STRAWBERRY CHARLOTTE BAG,United Kingdom,24,55.72,1.796
2011-08-31,20723,STRAWBERRY CHARLOTTE BAG,United Kingdom,1,1.63,1.63
2011-09-01,20723,STRAWBERRY CHARLOTTE BAG,United Kingdom,6,5.1,0.85
2011-09-02,20723,STRAWBERRY CHARLOTTE BAG,United Kingdom,141,170.37,1.6099999999999999
2011-09-05,20723,STRAWBERRY CHARLOTTE BAG,United Kingdom,19,16.15,0.85
2011-09-06,20723,STRAWBERRY CHARLOTTE BAG,United Kingdom,29,71.34,2.46
2011-09-07,20723,STRAWBERRY CHARLOTTE BAG,United Kingdom,6,5.88,1.24
2011-09-08,20723,STRAWBERRY CHARLOTTE BAG,United Kingdom,30,25.5,0.85
2011-09-09,20723,STRAWBERRY CHARLOTTE BAG,United Kingdom,46,95.4,1.6466666666666665
2011-09-11,20723,STRAWBERRY CHARLOTTE BAG,United Kingdom,204,147.4,0.8066666666666666
2011-09-12,20723,STRAWBERRY CHARLOTTE BAG,United Kingdom,111,82.13,1.0666666666666667
2011-09-13,20723,STRAWBERRY CHARLOTTE BAG,United Kingdom,29,58.46,1.2525
2011-09-14,20723,STRAWBERRY CHARLOTTE BAG,United Kingdom,93,79.05,0.85
2011-09-15,20723,STRAWBERRY CHARLOTTE BAG,United Kingdom,43,38.11,1.0059999999999998
2011-09-16,20723,STRAWBERRY CHARLOTTE BAG,United Kingdom,49,88.34,1.655
2011-09-18,20723,STRAWBERRY CHARLOTTE BAG,United Kingdom,30,25.5,0.85
2011-09-19,20723,STRAWBERRY CHARLOTTE BAG,United Kingdom,15,12.75,0.85
2011-09-20,20723,STRAWBERRY CHARLOTTE BAG,United Kingdom,38,61.28,1.655
2011-09-21,20723,STRAWBERRY CHARLOTTE BAG,United Kingdom,7,11.41,1.63
2011-09-22,20723,STRAWBERRY CHARLOTTE BAG,Portugal,10,8.5,0.85
2011-09-22,20723,STRAWBERRY CHARLOTTE BAG,Switzerland,100,72.0,0.72
2011-09-22,20723,STRAWBERRY CHARLOTTE BAG,United Kingdom,20,17.0,0.85
2011-09-23,20723,STRAWBERRY CHARLOTTE BAG,United Kingdom,26,63.13,2.045
2011-09-27,20723,STRAWBERRY CHARLOTTE BAG,United Kingdom,27,66.42,2.46
2011-09-28,20723,STRAWBERRY CHARLOTTE BAG,United Kingdom,31,23.229999999999997,1.1749999999999998
2011-09-29,20723,STRAWBERRY CHARLOTTE BAG,United Kingdom,20,17.0,0.85
2011-09-30,20723,STRAWBERRY CHARLOTTE BAG,United Kingdom,2,3.26,1.63
2011-10-02,20723,STRAWBERRY CHARLOTTE BAG,United Kingdom,14,11.9,0.85
2011-10-03,20723,STRAWBERRY CHARLOTTE BAG,United Kingdom,23,21.89,1.3699999999999999
2011-10-04,20723,STRAWBERRY CHARLOTTE BAG,United Kingdom,68,151.18,1.655
2011-10-05,20723,STRAWBERRY CHARLOTTE BAG,France,10,8.5,0.85
2011-10-05,20723,STRAWBERRY CHARLOTTE BAG,United Kingdom,2,3.26,1.63
2011-10-06,20723,STRAWBERRY CHARLOTTE BAG,United Kingdom,10,8.5,0.85
2011-10-07,20723,STRAWBERRY CHARLOTTE BAG,United Kingdom,47,93.08,1.2525
2011-10-10,20723,STRAWBERRY CHARLOTTE BAG,United Kingdom,19,18.490000000000002,1.162
2011-10-11,20723,STRAWBERRY CHARLOTTE BAG,France,10,8.5,0.85
2011-10-11,20723,STRAWBERRY CHARLOTTE BAG,United Kingdom,37,71.7,1.655
2011-10-12,20723,STRAWBERRY CHARLOTTE BAG,United Kingdom,12,11.76,1.3699999999999999
2011-10-13,20723,STRAWBERRY CHARLOTTE BAG,Belgium,10,8.5,0.85
2011-10-13,20723,STRAWBERRY CHARLOTTE BAG,United Kingdom,24,23.52,1.11
2011-10-14,20723,STRAWBERRY CHARLOTTE BAG,EIRE,20,17.0,0.85
2011-10-14,20723,STRAWBERRY CHARLOTTE BAG,United Kingdom,35,70.0,1.655
2011-10-17,20723,STRAWBERRY CHARLOTTE BAG,United Kingdom,14,15.02,1.3699999999999999
2011-10-18,20723,STRAWBERRY CHARLOTTE BAG,United Kingdom,56,128.04999999999998,1.484
2011-10-19,20723,STRAWBERRY CHARLOTTE BAG,Germany,10,8.5,0.85
2011-10-20,20723,STRAWBERRY CHARLOTTE BAG,United Kingdom,20,17.0,0.85
2011-10-21,20723,STRAWBERRY CHARLOTTE BAG,United Kingdom,35,86.1,2.46
2011-10-23,20723,STRAWBERRY CHARLOTTE BAG,United Kingdom,2,1.7,0.85
2011-10-24,20723,STRAWBERRY CHARLOTTE BAG,United Kingdom,12,11.76,1.3699999999999999
2011-10-25,20723,STRAWBERRY CHARLOTTE BAG,Switzerland,10,8.5,0.85
2011-10-25,20723,STRAWBERRY CHARLOTTE BAG,United Kingdom,47,76.97999999999999,1.2525
2011-10-26,20723,STRAWBERRY CHARLOTTE BAG,United Kingdom,12,10.2,0.85
2011-10-27,20723,STRAWBERRY CHARLOTTE BAG,United Kingdom,16,13.6,0.85
2011-10-28,20723,STRAWBERRY CHARLOTTE BAG,United Kingdom,23,56.58,2.46
2011-10-30,20723,STRAWBERRY CHARLOTTE BAG,United Kingdom,35,29.75,0.85
2011-10-31,20723,STRAWBERRY CHARLOTTE BAG,United Kingdom,42,59.75,1.4475
2011-11-01,20723,STRAWBERRY CHARLOTTE BAG,United Kingdom,60,51.0,0.85
2011-11-02,20723,STRAWBERRY CHARLOTTE BAG,United Kingdom,4,6.52,1.63
2011-11-03,20723,STRAWBERRY CHARLOTTE BAG,United Kingdom,1,1.63,1.63
2011-11-04,20723,STRAWBERRY CHARLOTTE BAG,United Kingdom,61,131.47,1.6466666666666665
2011-11-06,20723,STRAWBERRY CHARLOTTE BAG,United Kingdom,12,10.2,0.85
2011-11-08,20723,STRAWBERRY CHARLOTTE BAG,United Kingdom,44,91.30999999999999,1.6466666666666665
2011-11-09,20723,STRAWBERRY CHARLOTTE BAG,United Kingdom,10,8.5,0.85
2011-11-10,20723,STRAWBERRY CHARLOTTE BAG,United Kingdom,23,21.11,1.045
2011-11-11,20723,STRAWBERRY CHARLOTTE BAG,United Kingdom,44,103.36,1.6425
2011-11-13,20723,STRAWBERRY CHARLOTTE BAG,United Kingdom,22,18.7,0.85
2011-11-14,20723,STRAWBERRY CHARLOTTE BAG,United Kingdom,19,19.27,1.11
2011-11-15,20723,STRAWBERRY CHARLOTTE BAG,United Kingdom,45,91.28,1.6425
2011-11-16,20723,STRAWBERRY CHARLOTTE BAG,Germany,10,8.5,0.85
2011-11-16,20723,STRAWBERRY CHARLOTTE BAG,United Kingdom,2,3.26,1.63
2011-11-17,20723,STRAWBERRY CHARLOTTE BAG,United Kingdom,26,34.58,1.24
2011-11-18,20723,STRAWBERRY CHARLOTTE BAG,United Kingdom,46,80.13,1.4475
2011-11-20,20723,STRAWBERRY CHARLOTTE BAG,Netherlands,10,8.5,0.85
2011-11-20,20723,STRAWBERRY CHARLOTTE BAG,United Kingdom,11,9.35,0.85
2011-11-21,20723,STRAWBERRY CHARLOTTE BAG,United Kingdom,2,1.7,0.85
2011-11-22,20723,STRAWBERRY CHARLOTTE BAG,United Kingdom,149,176.44,1.343333333333333
2011-11-23,20723,STRAWBERRY CHARLOTTE BAG,United Kingdom,10,14.739999999999998,1.24
2011-11-24,20723,STRAWBERRY CHARLOTTE BAG,United Kingdom,66,56.88,0.9614285714285714
2011-11-25,20723,STRAWBERRY CHARLOTTE BAG,United Kingdom,78,175.78,1.655
2011-11-27,20723,STRAWBERRY CHARLOTTE BAG,United Kingdom,38,77.38,1.655
2011-11-28,20723,STRAWBERRY CHARLOTTE BAG,United Kingdom,44,38.96,1.162
2011-11-29,20723,STRAWBERRY CHARLOTTE BAG,United Kingdom,45,110.7,2.46
2011-11-30,20723,STRAWBERRY CHARLOTTE BAG,United Kingdom,54,114.25,1.6466666666666665
2011-12-01,20723,STRAWBERRY CHARLOTTE BAG,United Kingdom,5,5.029999999999999,1.24
2011-12-02,20723,STRAWBERRY CHARLOTTE BAG,France,10,8.5,0.85
2011-12-02,20723,STRAWBERRY CHARLOTTE BAG,United Kingdom,61,149.23,2.045
2011-12-04,20723,STRAWBERRY CHARLOTTE BAG,United Kingdom,51,123.85,1.655
2011-12-05,20723,STRAWBERRY CHARLOTTE BAG,United Kingdom,5,6.59,1.3699999999999999
2011-12-06,20723,STRAWBERRY CHARLOTTE BAG,United Kingdom,87,176.99,1.2525
2011-12-07,20723,STRAWBERRY CHARLOTTE BAG,United Kingdom,20,17.0,0.85
2011-12-08,20723,STRAWBERRY CHARLOTTE BAG,United Kingdom,74,179.54999999999998,1.9066666666666665
2011-12-09,20723,STRAWBERRY CHARLOTTE BAG,United Kingdom,44,106.58,2.045
2010-12-01,20724,RED RETROSPOT CHARLOTTE BAG,United Kingdom,4,6.64,1.66
2010-12-02,20724,RED RETROSPOT CHARLOTTE BAG,United Kingdom,21,17.85,0.85
2010-12-03,20724,RED RETROSPOT CHARLOTTE BAG,United Kingdom,39,58.81999999999999,1.6759999999999997
2010-12-05,20724,RED RETROSPOT CHARLOTTE BAG,Germany,20,17.0,0.85
2010-12-05,20724,RED RETROSPOT CHARLOTTE BAG,United Kingdom,7,5.949999999999999,0.85
2010-12-06,20724,RED RETROSPOT CHARLOTTE BAG,United Kingdom,12,15.87,1.39
2010-12-07,20724,RED RETROSPOT CHARLOTTE BAG,United Kingdom,80,184.2,1.9566666666666663
2010-12-08,20724,RED RETROSPOT CHARLOTTE BAG,United Kingdom,47,45.62,1.012
2010-12-09,20724,RED RETROSPOT CHARLOTTE BAG,United Kingdom,16,16.07,1.3439999999999999
2010-12-10,20724,RED RETROSPOT CHARLOTTE BAG,United Kingdom,118,222.98,1.67
2010-12-12,20724,RED RETROSPOT CHARLOTTE BAG,United Kingdom,11,9.35,0.85
2010-12-13,20724,RED RETROSPOT CHARLOTTE BAG,United Kingdom,28,30.279999999999998,1.39
2010-12-14,20724,RED RETROSPOT CHARLOTTE BAG,United Kingdom,105,238.64999999999998,1.4033333333333333
2010-12-15,20724,RED RETROSPOT CHARLOTTE BAG,United Kingdom,21,17.85,0.85
2010-12-16,20724,RED RETROSPOT CHARLOTTE BAG,United Kingdom,30,25.5,0.85
2010-12-17,20724,RED RETROSPOT CHARLOTTE BAG,Belgium,10,8.5,0.85
2010-12-17,20724,RED RETROSPOT CHARLOTTE BAG,Germany,10,8.5,0.85
2010-12-17,20724,RED RETROSPOT CHARLOTTE BAG,United Kingdom,6,9.959999999999999,1.66
2010-12-20,20724,RED RETROSPOT CHARLOTTE BAG,United Kingdom,22,17.72,1.19
2010-12-21,20724,RED RETROSPOT CHARLOTTE BAG,United Kingdom,135,338.84999999999997,2.51
2010-12-22,20724,RED RETROSPOT CHARLOTTE BAG,United Kingdom,10,8.5,0.85
2010-12-23,20724,RED RETROSPOT CHARLOTTE BAG,United Kingdom,4,10.04,2.51
2011-01-04,20724,RED RETROSPOT CHARLOTTE BAG,Sweden,20,17.0,0.85
2011-01-04,20724,RED RETROSPOT CHARLOTTE BAG,United Kingdom,20,17.0,0.85
2011-01-05,20724,RED RETROSPOT CHARLOTTE BAG,United Kingdom,1,1.66,1.66
2011-01-06,20724,RED RETROSPOT CHARLOTTE BAG,France,10,8.5,0.85
2011-01-06,20724,RED RETROSPOT CHARLOTTE BAG,United Kingdom,46,97.19999999999999,1.68
2011-01-07,20724,RED RETROSPOT CHARLOTTE BAG,Germany,20,17.0,0.85
2011-01-07,20724,RED RETROSPOT CHARLOTTE BAG,United Kingdom,111,82.16,1.0766666666666667
2011-01-09,20724,RED RETROSPOT CHARLOTTE BAG,Portugal,10,8.5,0.85
2011-01-09,20724,RED RETROSPOT CHARLOTTE BAG,United Kingdom,40,34.0,0.85
2011-01-10,20724,RED RETROSPOT CHARLOTTE BAG,United Kingdom,25,25.3,1.255
2011-01-11,20724,RED RETROSPOT CHARLOTTE BAG,United Kingdom,60,146.79999999999998,2.06
2011-01-12,20724,RED RETROSPOT CHARLOTTE BAG,France,10,8.5,0.85
2011-01-12,20724,RED RETROSPOT CHARLOTTE BAG,United Kingdom,6,7.529999999999999,1.255
2011-01-13,20724,RED RETROSPOT CHARLOTTE BAG,United Kingdom,32,28.759999999999998,1.3699999999999999
2011-01-14,20724,RED RETROSPOT CHARLOTTE BAG,France,10,8.5,0.85
2011-01-14,20724,RED RETROSPOT CHARLOTTE BAG,Netherlands,200,144.0,0.72
2011-01-14,20724,RED RETROSPOT CHARLOTTE BAG,United Kingdom,32,73.06,1.4475
2011-01-16,20724,RED RETROSPOT CHARLOTTE BAG,United Kingdom,10,8.5,0.85
2011-01-17,20724,RED RETROSPOT CHARLOTTE BAG,United Kingdom,13,13.39,1.24
2011-01-18,20724,RED RETROSPOT CHARLOTTE BAG,Germany,10,8.5,0.85
2011-01-18,20724,RED RETROSPOT CHARLOTTE BAG,United Kingdom,38,92.64999999999999,2.045
2011-01-19,20724,RED RETROSPOT CHARLOTTE BAG,France,10,8.5,0.85
2011-01-19,20724,RED RETROSPOT CHARLOTTE BAG,Switzerland,10,8.5,0.85
2011-01-19,20724,RED RETROSPOT CHARLOTTE BAG,United Kingdom,1,1.63,1.63
2011-01-20,20724,RED RETROSPOT CHARLOTTE BAG,United Kingdom,2,3.26,1.63
2011-01-21,20724,RED RETROSPOT CHARLOTTE BAG,United Kingdom,42,96.68,1.9066666666666665
2011-01-24,20724,RED RETROSPOT CHARLOTTE BAG,United Kingdom,23,19.55,0.85
2011-01-25,20724,RED RETROSPOT CHARLOTTE BAG,United Kingdom,47,99.52,1.655
2011-01-26,20724,RED RETROSPOT CHARLOTTE BAG,Portugal,10,8.5,0.85
2011-01-26,20724,RED RETROSPOT CHARLOTTE BAG,United Kingdom,10,8.5,0.85
2011-01-27,20724,RED RETROSPOT CHARLOTTE BAG,United Kingdom,10,8.5,0.85
2011-01-28,20724,RED RETROSPOT CHARLOTTE BAG,United Kingdom,42,68.63,1.6466666666666665
2011-01-31,20724,RED RETROSPOT CHARLOTTE BAG,United Kingdom,24,42.94,1.655
2011-02-01,20724,RED RETROSPOT CHARLOTTE BAG,Austria,30,25.5,0.85
2011-02-01,20724,RED RETROSPOT CHARLOTTE BAG,United Kingdom,40,34.0,0.85
2011-02-02,20724,RED RETROSPOT CHARLOTTE BAG,United Kingdom,1,1.63,1.63
2011-02-03,20724,RED RETROSPOT CHARLOTTE BAG,United Kingdom,60,51.0,0.85
2011-02-04,20724,RED RETROSPOT CHARLOTTE BAG,United Kingdom,36,87.72999999999999,2.045
2011-02-06,20724,RED RETROSPOT CHARLOTTE BAG,United Kingdom,120,89.0,0.8066666666666666
2011-02-07,20724,RED RETROSPOT CHARLOTTE BAG,United Kingdom,1,1.63,1.63
2011-02-08,20724,RED RETROSPOT CHARLOTTE BAG,United Kingdom,71,123.03999999999999,1.484
2011-02-09,20724,RED RETROSPOT CHARLOTTE BAG,Japan,100,72.0,0.72
2011-02-09,20724,RED RETROSPOT CHARLOTTE BAG,United Kingdom,7,11.41,1.63
2011-02-11,20724,RED RETROSPOT CHARLOTTE BAG,United Kingdom,28,52.78,1.655
2011-02-13,20724,RED RETROSPOT CHARLOTTE BAG,United Kingdom,10,8.5,0.85
2011-02-14,20724,RED RETROSPOT CHARLOTTE BAG,EIRE,10,8.5,0.85
2011-02-14,20724,RED RETROSPOT CHARLOTTE BAG,United Kingdom,6,5.1,0.85
2011-02-15,20724,RED RETROSPOT CHARLOTTE BAG,United Kingdom,2,3.26,1.63
2011-02-16,20724,RED RETROSPOT CHARLOTTE BAG,Israel,10,8.5,0.85
2011-02-16,20724,RED RETROSPOT CHARLOTTE BAG,United Kingdom,21,18.63,1.11
2011-02-17,20724,RED RETROSPOT CHARLOTTE BAG,Belgium,10,8.5,0.85
2011-02-17,20724,RED RETROSPOT CHARLOTTE BAG,France,10,8.5,0.85
2011-02-17,20724,RED RETROSPOT CHARLOTTE BAG,United Kingdom,17,37.769999999999996,1.4475
2011-02-18,20724,RED RETROSPOT CHARLOTTE BAG,United Kingdom,11,10.129999999999999,1.24
2011-02-20,20724,RED RETROSPOT CHARLOTTE BAG,United Kingdom,100,72.0,0.72
2011-02-21,20724,RED RETROSPOT CHARLOTTE BAG,Belgium,10,8.5,0.85
2011-02-21,20724,RED RETROSPOT CHARLOTTE BAG,Netherlands,200,144.0,0.72
2011-02-22,20724,RED RETROSPOT CHARLOTTE BAG,United Kingdom,10,8.5,0.85
2011-02-23,20724,RED RETROSPOT CHARLOTTE BAG,United Kingdom,42,87.85000000000001,1.6466666666666665
2011-02-24,20724,RED RETROSPOT CHARLOTTE BAG,United Kingdom,31,27.13,1.045
2011-02-25,20724,RED RETROSPOT CHARLOTTE BAG,United Kingdom,33,48.980000000000004,1.3866666666666667
2011-02-27,20724,RED RETROSPOT CHARLOTTE BAG,United Kingdom,100,72.0,0.72
2011-02-28,20724,RED RETROSPOT CHARLOTTE BAG,France,10,8.5,0.85
2011-02-28,20724,RED RETROSPOT CHARLOTTE BAG,United Kingdom,39,33.93,1.0059999999999998
2011-03-01,20724,RED RETROSPOT CHARLOTTE BAG,United Kingdom,100,72.0,0.72
2011-03-02,20724,RED RETROSPOT CHARLOTTE BAG,United Kingdom,20,17.0,0.85
2011-03-03,20724,RED RETROSPOT CHARLOTTE BAG,United Kingdom,15,12.75,0.85
2011-03-04,20724,RED RETROSPOT CHARLOTTE BAG,United Kingdom,22,20.259999999999998,1.11
2011-03-06,20724,RED RETROSPOT CHARLOTTE BAG,United Kingdom,17,14.45,0.85
2011-03-07,20724,RED RETROSPOT CHARLOTTE BAG,United Kingdom,81,182.32999999999998,1.6466666666666665
2011-03-08,20724,RED RETROSPOT CHARLOTTE BAG,Germany,10,8.5,0.85
2011-03-08,20724,RED RETROSPOT CHARLOTTE BAG,Portugal,20,17.0,0.85
2011-03-08,20724,RED RETROSPOT CHARLOTTE BAG,United Kingdom,19,17.71,1.045
2011-03-09,20724,RED RETROSPOT CHARLOTTE BAG,United Kingdom,26,26.78,1.11
2011-03-10,20724,RED RETROSPOT CHARLOTTE BAG,United Kingdom,113,83.83,1.0125
2011-03-11,20724,RED RETROSPOT CHARLOTTE BAG,United Kingdom,55,118.36999999999999,1.6466666666666665
2011-03-13,20724,RED RETROSPOT CHARLOTTE BAG,United Kingdom,2,1.7,0.85
2011-03-14,20724,RED RETROSPOT CHARLOTTE BAG,United Kingdom,5,4.25,0.85
2011-03-15,20724,RED RETROSPOT CHARLOTTE BAG,France,10,8.5,0.85
